run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,0,19.742,14.742,19.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,1,20.242,15.242,20.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,2,20.742,15.742,20.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,3,21.242,16.242,21.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,4,21.742,16.742,21.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,5,22.242,17.242,22.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,6,22.742,17.742,22.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,7,23.242,18.242,23.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,8,23.742,18.742,23.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,9,24.242,19.242,24.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,10,24.742,19.742,24.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,11,25.242,20.242,25.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,12,25.742,20.742,25.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,13,26.242,21.242,26.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,14,26.742,21.742,26.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,15,27.242,22.242,27.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,16,27.742,22.742,27.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,17,28.242,23.242,28.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,18,28.742,23.742,28.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,19,29.242,24.242,29.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,20,29.742,24.742,29.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,21,30.242,25.242,30.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,22,30.742,25.742,30.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,23,31.242,26.242,31.242,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,24,31.742,26.742,31.742,,excluded_near_event_or_injection,,
1b9bac59-84b0-403e-aa0d-aaa52d8cbba1,25,32.242,27.241999999999997,32.242,,excluded_near_event_or_injection,,
