run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
45d7bca0-006f-45ab-9a45-2277a44540b7,0,15.653,10.653,15.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,1,16.153,11.152999999999999,16.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,2,16.653,11.652999999999999,16.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,3,17.153,12.152999999999999,17.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,4,17.653,12.652999999999999,17.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,5,18.153,13.152999999999999,18.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,6,18.653,13.652999999999999,18.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,7,19.153,14.152999999999999,19.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,8,19.653,14.652999999999999,19.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,9,20.153,15.152999999999999,20.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,10,20.653,15.652999999999999,20.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,11,21.153,16.153,21.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,12,21.653,16.653,21.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,13,22.153,17.153,22.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,14,22.653,17.653,22.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,15,23.153,18.153,23.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,16,23.653,18.653,23.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,17,24.153,19.153,24.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,18,24.653,19.653,24.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,19,25.153,20.153,25.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,20,25.653,20.653,25.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,21,26.153,21.153,26.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,22,26.653,21.653,26.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,23,27.153,22.153,27.153,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,24,27.653,22.653,27.653,,excluded_near_event_or_injection,,
45d7bca0-006f-45ab-9a45-2277a44540b7,25,28.153,23.153,28.153,,excluded_near_event_or_injection,,
