run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
4a778017-f9eb-4616-9c2a-65bf7b8f5291,0,19.238,14.238,19.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,1,19.738,14.738,19.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,2,20.238,15.238,20.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,3,20.738,15.738,20.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,4,21.238,16.238,21.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,5,21.738,16.738,21.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,6,22.238,17.238,22.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,7,22.738,17.738,22.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,8,23.238,18.238,23.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,9,23.738,18.738,23.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,10,24.238,19.238,24.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,11,24.738,19.738,24.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,12,25.238,20.238,25.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,13,25.738,20.738,25.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,14,26.238,21.238,26.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,15,26.738,21.738,26.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,16,27.238,22.238,27.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,17,27.738,22.738,27.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,18,28.238,23.238,28.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,19,28.738,23.738,28.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,20,29.238,24.238,29.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,21,29.738,24.738,29.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,22,30.238,25.238,30.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,23,30.738,25.738,30.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,24,31.238,26.238,31.238,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,25,31.738,26.738,31.738,0,eligible_negative,,
4a778017-f9eb-4616-9c2a-65bf7b8f5291,26,32.238,27.238,32.238,0,eligible_negative,,
