run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
81d9b0fd-23f8-402e-847e-4c99ab6ff099,0,16.133,11.133,16.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,1,16.633,11.633,16.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,2,17.133,12.133,17.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,3,17.633,12.633,17.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,4,18.133,13.133,18.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,5,18.633,13.633,18.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,6,19.133,14.133,19.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,7,19.633,14.633,19.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,8,20.133,15.133,20.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,9,20.633,15.633,20.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,10,21.133,16.133,21.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,11,21.633,16.633,21.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,12,22.133,17.133,22.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,13,22.633,17.633,22.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,14,23.133,18.133,23.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,15,23.633,18.633,23.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,16,24.133,19.133,24.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,17,24.633,19.633,24.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,18,25.133,20.133,25.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,19,25.633,20.633,25.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,20,26.133,21.133,26.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,21,26.633,21.633,26.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,22,27.133,22.133,27.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,23,27.633,22.633,27.633,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,24,28.133,23.133,28.133,,excluded_near_event_or_injection,,
81d9b0fd-23f8-402e-847e-4c99ab6ff099,25,28.633,23.633,28.633,,excluded_near_event_or_injection,,
