run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
8d722d33-c440-466d-9968-517118a74f9d,0,15.953,10.953,15.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,1,16.453,11.453,16.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,2,16.953,11.953,16.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,3,17.453,12.453,17.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,4,17.953,12.953,17.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,5,18.453,13.453,18.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,6,18.953,13.953,18.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,7,19.453,14.453,19.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,8,19.953,14.953,19.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,9,20.453,15.453,20.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,10,20.953,15.953,20.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,11,21.453,16.453,21.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,12,21.953,16.953,21.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,13,22.453,17.453,22.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,14,22.953,17.953,22.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,15,23.453,18.453,23.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,16,23.953,18.953,23.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,17,24.453,19.453,24.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,18,24.953,19.953,24.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,19,25.453,20.453,25.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,20,25.953,20.953,25.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,21,26.453,21.453,26.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,22,26.953,21.953,26.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,23,27.453,22.453,27.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,24,27.953,22.953,27.953,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,25,28.453,23.453,28.453,,excluded_near_event_or_injection,,
8d722d33-c440-466d-9968-517118a74f9d,26,28.953,23.953,28.953,,excluded_near_event_or_injection,,
