run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
ab2f96ce-4486-4a9b-84a7-3bac35285543,0,15.671,10.671,15.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,1,16.171,11.171,16.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,2,16.671,11.671,16.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,3,17.171,12.171,17.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,4,17.671,12.671,17.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,5,18.171,13.171,18.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,6,18.671,13.671,18.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,7,19.171,14.171,19.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,8,19.671,14.671,19.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,9,20.171,15.171,20.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,10,20.671,15.671,20.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,11,21.171,16.171,21.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,12,21.671,16.671,21.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,13,22.171,17.171,22.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,14,22.671,17.671,22.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,15,23.171,18.171,23.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,16,23.671,18.671,23.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,17,24.171,19.171,24.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,18,24.671,19.671,24.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,19,25.171,20.171,25.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,20,25.671,20.671,25.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,21,26.171,21.171,26.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,22,26.671,21.671,26.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,23,27.171,22.171,27.171,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,24,27.671,22.671,27.671,,excluded_near_event_or_injection,,
ab2f96ce-4486-4a9b-84a7-3bac35285543,25,28.171,23.171,28.171,,excluded_near_event_or_injection,,
