run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
af068cd4-784e-43e7-a0b4-c7e37335e914,0,15.62,10.62,15.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,1,16.12,11.120000000000001,16.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,2,16.62,11.620000000000001,16.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,3,17.12,12.120000000000001,17.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,4,17.62,12.620000000000001,17.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,5,18.12,13.120000000000001,18.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,6,18.62,13.620000000000001,18.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,7,19.12,14.120000000000001,19.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,8,19.62,14.620000000000001,19.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,9,20.12,15.120000000000001,20.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,10,20.62,15.620000000000001,20.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,11,21.12,16.12,21.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,12,21.62,16.62,21.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,13,22.12,17.12,22.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,14,22.62,17.62,22.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,15,23.12,18.12,23.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,16,23.62,18.62,23.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,17,24.12,19.12,24.12,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,18,24.62,19.62,24.62,,excluded_near_event_or_injection,,
af068cd4-784e-43e7-a0b4-c7e37335e914,19,25.12,20.12,25.12,,excluded_near_event_or_injection,,
