run_id,decision_index,decision_time,window_start,window_end,label,eligibility,primary_event_class,primary_event_time
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,0,20.21,15.21,20.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,1,20.71,15.71,20.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,2,21.21,16.21,21.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,3,21.71,16.71,21.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,4,22.21,17.21,22.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,5,22.71,17.71,22.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,6,23.21,18.21,23.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,7,23.71,18.71,23.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,8,24.21,19.21,24.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,9,24.71,19.71,24.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,10,25.21,20.21,25.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,11,25.71,20.71,25.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,12,26.21,21.21,26.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,13,26.71,21.71,26.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,14,27.21,22.21,27.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,15,27.71,22.71,27.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,16,28.21,23.21,28.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,17,28.71,23.71,28.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,18,29.21,24.21,29.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,19,29.71,24.71,29.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,20,30.21,25.21,30.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,21,30.71,25.71,30.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,22,31.21,26.21,31.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,23,31.71,26.71,31.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,24,32.21,27.21,32.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,25,32.71,27.71,32.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,26,33.21,28.21,33.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,27,33.71,28.71,33.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,28,34.21,29.21,34.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,29,34.71,29.71,34.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,30,35.21,30.21,35.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,31,35.71,30.71,35.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,32,36.21,31.21,36.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,33,36.71,31.71,36.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,34,37.21,32.21,37.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,35,37.71,32.71,37.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,36,38.21,33.21,38.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,37,38.71,33.71,38.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,38,39.21,34.21,39.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,39,39.71,34.71,39.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,40,40.21,35.21,40.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,41,40.71,35.71,40.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,42,41.21,36.21,41.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,43,41.71,36.71,41.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,44,42.21,37.21,42.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,45,42.71,37.71,42.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,46,43.21,38.21,43.21,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,47,43.71,38.71,43.71,0,eligible_negative,,
f5aaf759-5702-4fe2-8f72-0f39b8ab6db5,48,44.21,39.21,44.21,0,eligible_negative,,
