split,map_id,route_id,seed,fault_family,severity,warning_id,risk_score,diagnosed_signal_group,stopped,stop_allowed,localisation_poor,planning_stale_or_blocked,immediate_collision_risk,obstruction_may_be_transient,relocalisation_available,rear_clearance_m,rotation_clearance_m,repeated_recovery_count,candidate_action,guard_eligible,observed_cost,run_id,policy_id,executed_action,guard_rejected,mission_complete,collision,engineering_smoke
validation,val_00,val_00_r0,40000000,camera_occlusion,medium,val_00-val_00_r0-40000000-camera_occlusion-medium,0.25538397117273703,localisation,true,true,true,false,false,false,false,2.497288227081299,0.7806591391563416,0,replan_clear_costmaps,false,40.0,bc0f8075-7377-45a8-8239-cadfd9a1d9e3,RP_replan_clear_costmaps,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000000,camera_occlusion,medium,val_00-val_00_r0-40000000-camera_occlusion-medium,0.25538397117273703,localisation,true,true,true,false,false,false,false,2.497288227081299,0.7806591391563416,0,controlled_stop,true,40.0,bc0f8075-7377-45a8-8239-cadfd9a1d9e3,RP_replan_clear_costmaps,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000000,camera_occlusion,medium,val_00-val_00_r0-40000000-camera_occlusion-medium,0.26317203891691876,localisation,true,true,true,true,false,false,false,2.5694265365600586,0.7835930585861206,0,spin_active_rescan,true,43.141,049519b4-5fd9-48f1-a2ec-7201fdb67d44,RP_spin_active_rescan,spin_active_rescan,false,false,false,false
validation,val_00,val_00_r0,40000000,camera_occlusion,medium,val_00-val_00_r0-40000000-camera_occlusion-medium,0.24809435636996996,localisation,true,true,true,true,false,false,false,2.6189064979553223,0.7623317241668701,0,wait,false,55.3013,80a849f6-eb7a-417e-b1f0-ce5d4924a1d5,RP_wait,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000000,camera_occlusion,medium,val_00-val_00_r0-40000000-camera_occlusion-medium,0.24809435636996996,localisation,true,true,true,true,false,false,false,2.6189064979553223,0.7623317241668701,0,controlled_stop,true,55.3013,80a849f6-eb7a-417e-b1f0-ce5d4924a1d5,RP_wait,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.5773644825805951,frontal_blockage,true,true,false,true,false,false,false,3.1851999759674072,0.8072457909584045,0,backup,true,45.1299,141b0249-93cf-43b8-8dfb-7e72fafba9aa,RP_backup,backup,false,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.5234448996011528,frontal_blockage,true,true,false,true,false,false,false,3.1205391883850098,0.8208702206611633,0,controlled_stop,true,5.2265,323ec577-3331-46db-a8b6-078a634935d1,RP_controlled_stop,controlled_stop,false,true,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.4913659306313469,frontal_blockage,true,true,false,true,false,false,false,3.122436285018921,0.8202853798866272,0,relocalise,false,45.0,d8f987f0-af1d-4c59-9331-9c95c90cb678,RP_relocalise,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.4913659306313469,frontal_blockage,true,true,false,true,false,false,false,3.122436285018921,0.8202853798866272,0,controlled_stop,true,45.0,d8f987f0-af1d-4c59-9331-9c95c90cb678,RP_relocalise,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.4700813938933656,frontal_blockage,true,true,false,true,false,false,false,3.0553250312805176,0.8332977890968323,0,replan_clear_costmaps,true,60.3174,75edf5ca-4c5b-4bb2-847d-30fc6053a565,RP_replan_clear_costmaps,replan_clear_costmaps,false,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.545749876990285,frontal_blockage,true,true,false,true,false,false,false,3.1996593475341797,0.7922337651252747,0,spin_active_rescan,true,45.245,7a8519d1-057d-4b4c-975b-22f2ab3bcccf,RP_spin_active_rescan,spin_active_rescan,false,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.5289658729342656,frontal_blockage,true,true,false,true,false,false,false,3.2059009075164795,0.8075942397117615,0,wait,false,45.0,42bc991a-28cc-4e49-931e-885b57f206a8,RP_wait,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000001,lidar_dropout,medium,val_00-val_00_r0-40000001-lidar_dropout-medium,0.5289658729342656,frontal_blockage,true,true,false,true,false,false,false,3.2059009075164795,0.8075942397117615,0,controlled_stop,true,45.0,42bc991a-28cc-4e49-931e-885b57f206a8,RP_wait,controlled_stop,true,false,false,false
validation,val_00,val_00_r0,40000004,dynamic_blockage,medium,val_00-val_00_r0-40000004-dynamic_blockage-medium,0.24545226647242782,planning,true,true,true,true,false,false,false,1.2496953010559082,0.8641034364700317,0,backup,true,40.1671,34be2631-22c0-46af-b77e-aac98c322cbc,RP_backup,backup,false,false,false,false
validation,val_00,val_00_r0,40000004,dynamic_blockage,medium,val_00-val_00_r0-40000004-dynamic_blockage-medium,0.25364467043831823,planning,true,true,false,true,false,false,false,0.6693117618560791,0.6693117618560791,0,controlled_stop,true,47.671499999999995,08a6640b-2096-4356-b1af-7ba3dccf94a4,RP_controlled_stop,controlled_stop,false,false,false,false
validation,val_00,val_00_r0,40000004,dynamic_blockage,medium,val_00-val_00_r0-40000004-dynamic_blockage-medium,0.2519226029820988,planning,true,true,false,true,false,false,false,1.4723074436187744,0.8346999883651733,0,relocalise,false,40.0,b90aac0d-14b5-4499-81a6-47b28502fc5a,RP_relocalise,controlled_stop,true,false,false,false
