model_id,fault_family,episodes,events,detected,event_recall,false_alerts_per_mission
p1_threshold_rules,camera_occlusion,126,16,1,0.0625,0.21428571428571427
p1_threshold_rules,dynamic_blockage,125,31,2,0.06451612903225806,0.344
p1_threshold_rules,lidar_dropout,126,15,0,0.0,0.2222222222222222
p1_threshold_rules,localisation_perturbation,126,23,0,0.0,0.23809523809523808
p1_threshold_rules,none,126,16,0,0.0,0.46825396825396826
p1_threshold_rules,planner_oscillation,122,28,1,0.03571428571428571,0.7540983606557377
p1_threshold_rules,semantic_corruption,126,8,0,0.0,0.2222222222222222
p1_threshold_rules,wheel_slip,125,20,1,0.05,0.208
p3_causal_tcn,camera_occlusion,126,16,5,0.3125,0.10317460317460317
p3_causal_tcn,dynamic_blockage,125,31,1,0.03225806451612903,0.296
p3_causal_tcn,lidar_dropout,126,15,0,0.0,0.31746031746031744
p3_causal_tcn,localisation_perturbation,126,23,1,0.043478260869565216,0.25396825396825395
p3_causal_tcn,none,126,16,4,0.25,0.18253968253968253
p3_causal_tcn,planner_oscillation,122,28,19,0.6785714285714286,0.28688524590163933
p3_causal_tcn,semantic_corruption,126,8,5,0.625,0.16666666666666666
p3_causal_tcn,wheel_slip,125,20,1,0.05,0.232
p4_gru,camera_occlusion,126,16,3,0.1875,0.047619047619047616
p4_gru,dynamic_blockage,125,31,1,0.03225806451612903,0.088
p4_gru,lidar_dropout,126,15,1,0.06666666666666667,0.1349206349206349
p4_gru,localisation_perturbation,126,23,0,0.0,0.047619047619047616
p4_gru,none,126,16,3,0.1875,0.06349206349206349
p4_gru,planner_oscillation,122,28,18,0.6428571428571429,0.11475409836065574
p4_gru,semantic_corruption,126,8,4,0.5,0.05555555555555555
p4_gru,wheel_slip,125,20,1,0.05,0.112
p5_compact_transformer,camera_occlusion,126,16,3,0.1875,0.19047619047619047
p5_compact_transformer,dynamic_blockage,125,31,9,0.2903225806451613,0.248
p5_compact_transformer,lidar_dropout,126,15,0,0.0,0.31746031746031744
p5_compact_transformer,localisation_perturbation,126,23,0,0.0,0.25396825396825395
p5_compact_transformer,none,126,16,5,0.3125,0.25396825396825395
p5_compact_transformer,planner_oscillation,122,28,19,0.6785714285714286,0.36885245901639346
p5_compact_transformer,semantic_corruption,126,8,5,0.625,0.1984126984126984
p5_compact_transformer,wheel_slip,125,20,1,0.05,0.288
